Nome do alimento,"Hidratos de carbono 
Lebre crua,0
Leite condensado,56.4
Leite creme,19.5
Leite de cabra cru,4.6
"Leite de coco, enlatado",2.8
Leite de ovelha cru,4.2
Leite evaporado,9.8
"Leite fermentado (Bifidus) gordo, natural",4.5
"Leite fermentado (Bifidus) sem lactose enriquecido com fibra, magro, aromatizado, com pedaços e/ou polpa de fruta, com sementes e/ou cereais, com frutos secos e/ou de casca rija, com edulcorantes ",6.6
"Leite fermentado (Bifidus) sem lactose líquido, meio gordo, aromatizado, com pedaços e/ou polpa de fruta, açucarado",11
"Leite fermentado (Bifidus) sem lactose magro, natural, com edulcorantes",6.2
"Leite fermentado (Bifidus) sem lactose, gordo, natural",4.8
"Leite fermentado (Bifidus) sem lactose, magro, aromatizado, com pedaços e/ou polpa de fruta e/ou hortícolas, açucarado, com edulcorantes",8.2
"Leite gordo especial, pasteurizado ",4.8
"Leite gordo sem lactose, enriquecido com vitaminas A, D, E e B9 (ácido fólico), UHT",4.6
"Leite gordo, pasteurizado",4.7
"Leite gordo, pó",38.7
"Leite gordo, UHT",4.7
Leite humano,7.5
"Leite humano, colostro",6.3
"Leite humano, transição",6.6
"Leite magro de pastagem, UHT ",4.9
"Leite magro sem lactose, UHT",5.1
"Leite magro, pó",52.7
"Leite magro, UHT",4.9
"Leite meio gordo aromatizado, UHT ",7.9
"Leite meio gordo de pastagem, UHT",5
"Leite meio gordo sem lactose, UHT",5.1
"Leite meio gordo, pó",45.6
"Leite meio gordo, UHT",4.9
Lentilhas secas cozidas (demolhadas),16.7
"Lentilhas vermelhas, secas, cruas",46.6
"Lentilhas, secas, cruas",47.6
Lichia fresca,14.8
Licor beneditino,34.8
Licor de anis,36
Licor de ginja,19
Licor simples,24.4
Lima,1.7
Limão,1.9
Língua de porco crua,0
"Língua de vaca, crua",0
"Língua de vaca, estufada, sem molho",0
Linguado cru,0
Linguado frito,2.7
Linguado grelhado,0
Linguiça,0
Lombo de porco assado,0.2
Lombo de porco assado com azeite e margarina,0.2
Lombo de porco assado com margarina,0
Lombo de porco assado com óleo alimentar e margarina,0.2
"Lombo de porco assado, sem molho",0
Lombo de porco cru,0
Lombo de porco frito,0
Lombo de porco frito com manteiga,0
Lombo de porco frito com margarina,0
Lombo de porco frito panado,8.5
Lombo de porco grelhado,0
Lombo de vaca magro assado com azeite e margarina,0
"Lombo de vaca magro assado com azeite, manteiga e óleo alimentar",0
Lombo de vaca magro assado com margarina,0
Lombo de vaca magro assado com óleo alimentar e margarina,0
"Lombo de vaca magro assado, sem molho",0
Lombo de vaca magro cru,0
"Lombo de vaca magro no forno, com tomate, cebola, cenoura e alho",2.5
Lombo de vitela assado com azeite e margarina,0.2
"Lombo de vitela assado com azeite, margarina e óleo alimentar",0.2
Lombo de vitela assado com margarina e óleo alimentar,0.2
"Lombo de vitela assado, sem molho",0
Lombo de vitela cru,0
Lombo de vitela frito com margarina,0
"Lombo de vitela frito, sem molho",0
Lombo de vitela grelhado,0
Lombo ou pá de cavalo assado com azeite e manteiga,0.1
Lombo ou pá de cavalo assado com margarina,0.1
"Lombo ou pá de cavalo assado, sem molho",0
Lombo ou pá de cavalo cru,0
Lombo ou pá de cavalo frito com manteiga,0
Lombo ou pá de cavalo frito com margarina,0
Lula crua,0
"Lula estufada com cebola, tomate e azeite",2.9
Lula grelhada,0
Maçã (média com e sem casca),13.1
Maçã assada com açúcar,23.9
Maçã assada sem açúcar,15.7
Maçã com casca,13.4
Maçã cozida com açúcar,17
Maçã cozida sem açúcar,10.5
Maçã desidratada,74.5
Maçã seca,57.1
Maçã sem casca,12.7
Madalena,54.7
"Maionese caseira, com ovo e azeite",0
"Maionese caseira, com ovo e óleo de soja",0
Malagueta vermelha fresca,4.3
Mandioca crua,33.8
Manga,11.7
Manga desidratada,67.4
Manjericão fresco,5.1
Manjericão seco,10
Manjerona seca,42.5
Manteiga com sal,0.7
Manteiga sem sal,0.7
Maracujá,5.7
Margarina,0.4
"Margarina 3/4, de girassol",0.3
"Margarina culinária para folhados, com sal",0.4
"Margarina industrial para pastelaria, com sal",0.4
"Margarina vegetal culinária, 80% gordura, com sal",0.4
"Margarina vegetal culinária, com alho e sal",4.4
Marmelada,69.7
Marmelo,9.3
Maruca cozida,0
Maruca crua,0
Massa com ovo cozida,13.3
Massa com ovo crua,67.6
Massa de pimentão,4.4
"Massa folhada, congelada",31.8
Massa miúda crua,70
Massa para lasanha cozida,22.6
Massa para lasanha crua,71.4
Massa para pizza,52.5
Massa quebrada para quiche,52.4
Meia-desfeita de bacalhau,14.8
Mel,78
Mel de cana,77.4
Melaço,66.6
Melancia,5.5
Melão (3 variedades),5.7
Meloa,4.2
Merengue,83
Mexilhão cozido sem sal,2.8
Mexilhão cru,2
Milho doce em conserva,18.4
"Milho, amido (pó)",90.2
"Milho, grão seco cru",70.3
"Millet, cru, seco",71.2
Minarina (meia margarina),0.4
Mirtilo,6.4
Mirtilo desidratado,46.8
"Miso, pasta de soja fermentada com arroz integral e cevada",15.1
"Molho ""Béchamel"" com manteiga",9.6
"Molho ""Béchamel"" com margarina",9.9
Molho branco com caldo de carne de vaca,6.8
Molho branco com margarina,18.5
Molho de bife frito com manteiga,0.4
Molho de carne de vaca assada com azeite e margarina,0.3
Molho de carne de vaca assada com margarina,0.4
Molho de carne de vaca estufada com azeite e margarina,0.4
"Molho de carne de vaca estufada com vegetais, azeite e margarina",1.3
Molho de lombo de porco frito com banha,0
Molho de lombo de porco frito com banha e margarina,0.1
Molho de lombo de porco frito com margarina,0.2
Molho de lombo de vaca frito com creme vegetal sem sal,0.2
Molho de lombo de vaca frito com margarina,0.2
Molho de mostarda ,18
Molho de soja,17.3
Molho de tomate,4.9
"Molho de tomate, ""ketchup""",26.9
Molho de vinagrete,0.2
Molho para francesinha,4.8
Molho verde,2.3
Morango,5.3
Morango desidratado ,50.9
Morcela crua,12
Morcela grelhada sem adição de sal,13.1
Mortadela,1.7
Mousse de chocolate,31
"Múcua (fruto do embondeiro, baobab)",16.3
Nabiça crua,1.2
Nabo (raiz) cozido,2.3
Nabo (raiz) cru,3
Nata maturada pasteurizada 30% gordura,2.7
Nata para bater pasteurizada 34% gordura,2.1
Nata pasteurizada 33% gordura,2.9
Nata pasteurizada 36% gordura,1.9
"Nata pasteurizada para café, 15% gordura",2.4
Nata UHT 35% gordura,3.1
"Néctar de ""tutti - frutti""",10.8
Néctar de alperce,12.9
Néctar de ananás,10.5
Néctar de laranja,9.6
Néctar de maçã,11.3
"Néctar de maçã, ""light""",4.6
Néctar de pera,11
Néctar de pêssego,11.7
"Néctar de pêssego, ""light""",3.5
Nectarina,8.7
Nêspera,10.2
Noz macadâmia,5.1
Noz pecan,5.4
"Noz, miolo",3.6
Noz-moscada,28.5
"Óleo ""Becel""",0
Óleo alimentar,0
Óleo de amendoim,0
Óleo de coco,0
Óleo de girassol,0
Óleo de linhaça,0
Óleo de palma,0
Óleo de soja,0
Óleos de milho,0
Omelete,0.2
Omelete com manteiga,0
Omelete com margarina,0
Orégão seco,26.4
"Orelha de porco, crua",0.3
"Ostra, crua",3.9
Ovas de bacalhau cruas,0
Ovas de pescada cruas,0
"Ovo de codorniz, cru",0.4
"Ovo de galinha inteiro, cru",0.5
"Ovo de galinha líquido, pasteurizado",0
"Ovo de galinha, cozido",
"Ovo de galinha, escalfado",0
"Ovo de galinha, estrelado",0
"Ovo de galinha, estrelado com azeite",0
"Ovo de galinha, estrelado com manteiga",0
"Ovo de galinha, estrelado com margarina",0
"Ovo de galinha, mexido com manteiga",0
"Ovo de galinha, mexido com margarina",0
Ovo mexido com leite e margarina,0.9
"Pá de carneiro assada, sem molho",0
"Pá de carneiro, assada com azeite e margarina",0
"Pá de carneiro, assada com margarina",0
"Pá de carneiro, cozida",0
"Pá de carneiro, crua",0
"Pá de carneiro, estufada sem molho",0
Pá de vitela crua,0.3
Paio de lombo,0
Paio de lombo entremeado,0
Pão de centeio,56.4
Pão de centeio integral,41.3
"Pão de forma, de trigo com passas",58.3
"Pão de forma, de trigo enriquecido",54.5
Pão de leite (trigo),51.4
Pão de ló,62.2
Pão de milho,37.2
Pão de mistura de trigo e centeio,53.8
Pão de trigo,57.3
Pão de trigo integral,39.9
Pão de trigo integral com passas,44
Pão de trigo integral com sementes de sésamo,43.2
Pão de trigo integral com soja,38.2
Pão do coração (trigo),51
Pão pita,42.7
Pão ralado,71.6
Papaia,9.1
Papaia desidratada,73.3
"Pargo legítimo assado com cebola, tomate e azeite",1.4
Pargo legítimo cozido,0
Pargo legítimo cru,0
"Pargo mulato assado com cebola, tomate e azeite",1.4
Pargo mulato cozido,0
Pargo mulato cru,0
"Pasta de fígado de aves (paté), caseira ",4.6
Pasta de fígado de porco (paté),3.2
Pastel de bacalhau,12.3
Pastel de feijão,52
Pastel de nata,48.5
Pastel folhado,37.4
Pastilha elástica,75.1
"Pato com pele, assado sem molho",0
"Pato com pele, cru",0
"Pato sem pele, assado com margarina",0
"Pato sem pele, cru",0
"Pato sem pele, estufado com margarina",0
"Pé de porco, cru",0
Peito de cabrito cru,0
Peito de cabrito estufado com azeite e margarina,0.8
Peito de cabrito estufado com azeite e óleo alimentar,0.7
Peito de cabrito estufado com manteiga e óleo alimentar,0.8
Peito de cabrito estufado com margarina e óleo alimentar,0.8
"Peito de cabrito estufado, sem molho",0
Peito de cabrito grelhado,0
"Peito de carneiro gordo, cozido",0
"Peito de carneiro gordo, cru",0
"Peito de frango com pele, cozido",0
"Peito de frango com pele, cru",0
"Peito de frango com pele, estufado com azeite e margarina",1.7
"Peito de frango com pele, estufado com margarina",1.7
"Peito de frango com pele, estufado sem molho",0
"Peito de frango sem pele, cozido",0
"Peito de frango sem pele, cru",0
"Peito de frango sem pele, estufado com azeite e margarina ",1.7
"Peito de frango sem pele, estufado com margarina",1.7
"Peito de frango sem pele, estufado sem molho",0
"Peito de peru com pele, cru",0
"Peito de peru com pele, estufado com margarina",1.3
"Peito de peru sem pele, assado com margarina",0.1
"Peito de peru sem pele, cru",0
"Peito de peru sem pele, panado",8.4
Peito de vitela magro cozido,0
Peito de vitela magro cru,0
Peito de vitela magro estufado,0.6
Peito de vitela magro estufado com azeite e margarina,0.6
"Peito de vitela magro estufado com azeite, margarina e óleo alimentar",0.6
Peito de vitela magro estufado com margarina e óleo alimentar,0.6
"Peito de vitela magro estufado, sem molho",0
Peixe-espada-branco cru,0
Peixe-espada-branco frito,2.9
Peixe-espada-branco grelhado,0
Peixe-espada-preto cru,0
Peixe-espada-preto frito,3.2
Peixe-espada-preto grelhado,0
Peixinhos da horta,14.9
Pepino cru,1.7
Pera (5 variedades),9.4
Pera conserva em calda de açúcar,28.9
Pera cozida com açúcar,14.5
Pera cozida sem açúcar,7.8
Pera cristalizada,69.8
Pera desidratada,59.9
Percebes crus,0
Perdiz crua,0
Perdiz estufada com margarina,0.7
Perna de borrego no forno,0.4
Perna de cabrito assada com azeite e margarina,0.2
Perna de cabrito assada com óleo alimentar e margarina,0.2
"Perna de cabrito assada, sem molho",0
Perna de cabrito crua,0
"Perna de carneiro gorda, assada, sem molho",0
"Perna de carneiro gorda, crua",0
"Perna de carneiro gorda, estufada sem molho",0
Perna de carneiro magra assada com azeite e margarina,0
Perna de carneiro magra assada com margarina,0
"Perna de carneiro magra, assada, sem molho",0
"Perna de carneiro magra, crua",0
"Perna de carneiro magra, estufada com azeite e margarina",1.7
"Perna de carneiro magra, estufada com margarina",1.7
"Perna de carneiro magra, estufada sem molho",0
"Perna de frango sem pele, cozida",0
"Perna de frango sem pele, crua",0
"Perna de frango sem pele, estufada com azeite e margarina",1.6
"Perna de frango sem pele, estufada com margarina ",1.6
"Perna de frango sem pele, estufada sem molho",0
"Perna de peru com pele, assada com margarina",0
"Perna de peru com pele, crua",0
"Perna de peru com pele, estufada com margarina",1.3
Perna de porco gorda assada com azeite e margarina,0.2
Perna de porco gorda assada com margarina,0.2
Perna de porco gorda assada com óleo alimentar e margarina,0.2
"Perna de porco gorda assada, sem molho",0
Perna de porco gorda crua,0
Perna de porco gorda grelhada,0
Perna de porco magra assada com azeite e margarina,0.2
Perna de porco magra assada com margarina,0.2
Perna de porco magra assada com óleo alimentar e margarina,0.2
"Perna de porco magra assada, sem molho",0
Perna de porco magra crua,0
Perna de porco magra estufada com azeite e banha,0.7
Perna de porco magra estufada com azeite e margarina,0.7
Perna de porco magra estufada com margarina,0.7
Perna de porco magra estufada com óleo alimentar e banha,0.7
"Perna de porco magra estufada, sem molho",0
Perna de porco magra grelhada,0
"Peru inteiro com pele, cru",0
Pescada cozida (valor médio),0
Pescada crua (valor médio),0
Pescada da África do Sul cozida,0
Pescada da África do Sul crua,0
Pescada da África do Sul frita,1.7
Pescada do Chile cozida,0
Pescada do Chile crua,0
Pescada do Chile frita,2.6
Pescada europeia cozida,0
Pescada europeia crua,0
Pescada europeia frita,1.4
Pescada frita (valor médio),2.1
Pêssego (2 variedades),8.1
"Pêssego, conserva em calda de açúcar",20.6
Picanha grelhada,0
Picles de pepino,16.5
Pimenta branca,48.3
Pimenta moída,38.3
Pimenta preta,44.5
Pimento cru,2.7
Pimento grelhado,3.7
"Pinhão, miolo",5
Pistácio torrado e salgado,12.6
"Pistácio torrado, sem sal",12.6
Pizza de queijo e tomate,33.2
"Pizza de queijo, tomate e fiambre",29.2
Pó achocolatado com alto teor de gordura,70.6
Pó achocolatado com baixo teor de gordura,86.2
Polvo cozido sem sal,0
Polvo cru,0
Pombo cru,0
Pota crua,0
Preparado fermentado à base de soja (Vegurte),5.9
Presunto,0
Proteína texturizada de soja,17.2
Pudim de leite e ovos,44.8
Pudim flan caseiro,36.3
Pudim instantâneo em pó,79.4
Pudim instantâneo preparado com leite magro,18.3
Pudim instantâneo preparado com leite meio gordo,18.3
"Pulmões de porco, crus",0.2
Puré de batata,16.8
Queijada de queijo fresco,56.7
Queijada de queijo magro,55.4
Queijada de requeijão,40.8
Queijo Amarelo da Beira Baixa,1.5
Queijo Brie,0
Queijo Camembert,0.2
Queijo Cheddar,0.1
Queijo creme para barrar,6.9
"Queijo creme para barrar, alto teor polinsaturados",6.9
Queijo de Azeitão,2.6
"Queijo de cabra ""Pure chèvre""",2
"Queijo de cabra atabafado, curado",2.7
"Queijo de cabra atabafado, fresco",2.5
Queijo de cabra curado,2.5
Queijo de Castelo Branco,1.8
Queijo de Évora,2.1
"Queijo de mistura (vaca, cabra e ovelha)",2.4
Queijo de Nisa,2.6
Queijo de ovelha curado,2.4
"Queijo de ovelha, amanteigado",1.6
Queijo de vaca curado,1.2
"Queijo de vaca curado, magro",2.4
"Queijo de vaca curado, meio gordo",1.7
"Queijo de vaca, amanteigado",1.7
Queijo Emmental,0
Queijo flamengo,0.8
Queijo flamengo light (-50% gordura),0
Queijo fresco açucarado com sabor a fruta,11.6
Queijo fresco de cabra,2.1
Queijo fresco de ovelha,3.9
Queijo fresco magro,6.9
Queijo fresco meio gordo,2.7
Queijo fundido 40% gordura,0.2
Queijo Gouda,0
Queijo Gruyère,1.4
Queijo Mascarpone,0.3
Queijo Mestiço de Tolosa,1.8
Queijo Mozzarella fresco,1.3
Queijo Parmesão,0.1
Queijo Quark açucarado magro com sabor a fruta,10.8
Queijo Quark natural magro,4
Queijo Quark natural meio gordo,3.9
Queijo Raclette,0.4
Queijo Roquefort,0.2
Queijo São Jorge,2.5
Queijo Serpa,2.4
Queijo Serra da Estrela,2
"Queijo Serra da Estrela, velho",0.2
Queque,53.8
Quiabo cru,3.1
Quiche de espinafres,12.4
Quiche de vegetais,12.9
Quiche lorraine,23.5
"Quivi, ""Kiwi""",10.9
"Quivi, ""Kiwi"" desidratado",60.6
Rabanada,31.3
Rabanete cru,1.9
Rábano cru,10.7
Raia crua,0
"Rancho com carne de galinha, porco e vaca",6.5
Rancho com carne de porco,6.8
Rebentos de alfalfa crus,0.3
Rebentos de bambu crus,1.4
Rebentos de soja crus,5.8
Rebuçados,95
Requeijão de cabra,3.4
Requeijão de mistura (ovelha e cabra),3.7
"Requeijão de mistura (vaca, ovelha e cabra)",4.9
Requeijão de ovelha,3.8
Requeijão de vaca,5.8
"Rim de carneiro, cru",0
"Rim de carneiro, frito com margarina",0
"Rim de porco, cru",0
"Rim de porco, frito com margarina",0
"Rim de vaca, cru",0
Rissol,31.8
Rissol de camarão,26.6
Rissol de carne com manteiga,19.8
Rissol de carne com margarina,19.7
"Robalo assado com cebola, azeite, banha e manteiga",0.6
Robalo cozido,0
Robalo cru,0
Robalo grelhado,0
Rojões de carne gorda,0.8
Rojões de carne magra,8.7
Romã,12
Rúcula crua,2.2
Safio cru,0
Sal,0
Salada de alface e tomate temperada com azeite e vinagre,2.6
Salada de atum,8.4
Salada de bacalhau com grão,7.6
Salada russa,5.6
Salame,1.3
Salicórnia fresca,1.1
Salmão cozido,0
Salmão cru,0
Salmão grelhado,0
Salmonete cru,0.1
Salpicão,0
Salsa fresca,0.4
Salsa seca,14.5
Salsicha de soja,0.6
Salsicha fresca crua,0
Salsicha fresca estufada com couve e azeite,1.1
Salsicha fresca estufada com legumes e azeite,3.7
Salsicha tipo Frankfurt,2.4
Salsicha tipo Frankfurt frita (escorrido o óleo) sem adição de sal,2.8
Salsicha tipo Frankfurt grelhada sem adição de sal,3.2
"Sangue de porco, cru",0.4
Sapateira crua,0
Sarda cozida,0
Sarda crua,0
Sarda grelhada,0
Sardinha frita,8.7
Sardinha gorda crua,0
Sardinha gorda frita,3.5
Sardinha gorda grelhada,0
"Sardinha meio gorda conserva em água, sem espinha e sem pele",0
Sardinha meio gorda conserva em azeite,0
Sardinha meio gorda conserva em azeite (escorrido),0
Sardinha meio gorda crua,0
Sardinha meio gorda frita,0.5
Sardinha meio gorda grelhada,0
Seitan,5.4
"Sementes de abóbora, cruas, secas, miolo",10
Sementes de cânhamo secas,2.4
Sementes de chia,4.6
Sementes de coentro,16.2
"Sementes de girassol, cruas, secas, miolo",8.3
Sementes de linhaça cruas,18.1
Sementes de melão,9
Sementes de mostarda,15.9
Sementes de papoila,13.7
Sementes de sésamo,6.4
Sêmola de milho,73.8
Shortening para pastelaria,0
Shortening para restaurante,0
Sidra (vinho de maçã),2.3
Sobremesa à base de soja,15.8
Soja cozida sem sal,5.6
"Soja, farinha com baixo teor de gordura",21.8
"Soja, grão seco, cru",18.3
Solha crua,0
Solha frita,8.9
Solha grelhada,0
Sonhos,29.2
Sopa à lavrador,7.6
Sopa de abóbora,4
Sopa de agrião,4.2
Sopa de agrião com leite,5.3
Sopa de agrião com requeijão,2
Sopa de carne de porco,7.3
Sopa de cebola,5.4
Sopa de cenoura,4.4
Sopa de couve-branca,5.4
Sopa de couve-lombarda,5.3
Sopa de cozido,2.9
Sopa de ervilhas,6.4
Sopa de espinafres,4.8
Sopa de espinafres com ovos,4.7
Sopa de favas,6.4
Sopa de feijão,4.1
Sopa de feijão-branco com couve-portuguesa,4.9
Sopa de feijão-manteiga,8.7
Sopa de feijão-manteiga com couve-lombarda,3.5
Sopa de feijão-verde,3.5
Sopa de feijão-verde e cenoura,5.8
Sopa de feijão-verde e nabo,3.4
Sopa de grão à moda da avó,15.1
"Sopa de grão com arroz, espinafres e coentros",5.3
Sopa de grão com espinafres ,7
Sopa de grão com espinafres sem arroz,5.1
Sopa de nabiças (ou de grelos de nabo),5.8
Sopa de peixe ,1.3
Sopa de peixe com massa,5.8
Sopa de tomate,4.4
Sopa de vegetais,1.2
Sopa juliana,4.3
"Sopa, caldo verde",5.3
"Sopa, canja de galinha",5.8
"Sopa, creme de cenoura",4.4
"Sopa, puré de feijão",4.5
"Sopa, puré de vegetais",5.5
Sucedâneo de café (pó) (2 marcas),81
Sucedâneo de café (pó) com 20% de café,77
Sultanas,69.4
"Sumo de ananás, 100%",9.5
"Sumo de ananás, concentrado",64.7
"Sumo de laranja, 100% ",9.5
"Sumo de laranja, concentrado",64.9
"Sumo de limão, fresco (espremido)",1.5
"Sumo de maçã, 100%",9.9
"Sumo de pêssego, 100%",11.5
"Sumo de tomate, 100%",3.5
Tahini ,11.6
Tâmara fresca ,33.2
Tâmara seca,67.3
Tamarilho sem pele,4.6
Tamarindo cru,54.9
Tamboril cru,0
Tamboril grelhado,0
Tângera,7.8
Tangerina,8.7
Tapioca,87.5
Tarte de maçã,29.3
Tarte de maçã e pêssego,36.7
"Tisana, infusão de ervas",0.2
Tofu frito com azeite,1.1
Tofu frito com óleo de milho,1.1
Tofu simples,0.7
Tomate cherry cru,4
Tomate concentrado,14.3
Tomate cru,3.5
Tomate em conserva ao natural,3.2
Tomilho fresco,7.4
Tomilho seco,45.3
Toranja,6
Torta de chocolate e chantilly,29.6
Tosta de trigo,69.7
Tosta de trigo integral,62.6
Tosta de trigo sem sal,72.7
Tosta de trigo simples,72.7
"Toucinho  de porco entremeado ligeiramente salgado, cozido sem adição de sal",0
"Toucinho de porco entremeado fresco, cru",0
"Toucinho de porco entremeado fresco, grelhado sem adição de sal",0
"Toucinho de porco entremeado ligeiramente salgado, cru",0
Toucinho de porco entremeado magro,0.5
"Tremoço cozido, sem sal",7.2
"Tremoço, cozido e salgado",7.2
Trigo Sarraceno (grão) cru,61.3
Tripa de porco fresca,0
Tripa de vaca crua,0.1
Truta arco-íris crua,0
Truta arco-íris grelhada,0
Túbera (trufa) crua,14.5
"Uva (média, branca e tinta)",18
Uva branca (5 variedades),17.3
Uva seca (passas),67
Uva tinta (5 variedades),18.6
Vaca assada,0
Vaca assada com azeite e margarina,0
Vaca assada com margarina,0
Vaca assada com óleo alimentar e margarina,0
"Vaca assada, sem molho",0
Vaca magra cozida,0
Vaca magra estufada,1.2
Vaca magra estufada à jardineira,11.4
Vaca magra estufada com azeite e margarina,1.2
Vaca magra estufada com margarina,1.2
Vaca magra estufada com óleo alimentar e margarina,1.2
"Vaca magra estufada, sem molho",0
Vaca meio gorda estufada,1.2
Vaca meio gorda estufada com azeite e margarina,1.2
Vaca meio gorda estufada com margarina,1.2
Vaca meio gorda estufada com óleo alimentar e margarina,1.2
"Vaca meio gorda estufada, sem molho",0
Vaca para assar crua,0
Vaca para cozer ou estufar magra crua,0
Vaca para cozer ou estufar meio gorda crua,0
Veado cru,0
"Vieira, crua",0
Vinagre,0.6
Vinho espumante doce,12
Vinho espumante extra bruto,0.1
Vinho espumante meio Seco,4.2
Vinho espumante seco,2.6
Vinho generoso da Madeira,9
"Vinho generoso do Porto, doce",14
"Vinho generoso do Porto, meio seco",6.5
"Vinho generoso do Porto, seco",4
Vinho maduro branco,1.2
Vinho maduro palhete,0.1
Vinho maduro tinto,0.2
Vinho rosé,2.4
Vinho verde branco,0.1
Vinho verde tinto,0.3
"Wasabi, raiz crua",15.8
